2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
151-200,151-200,University of Massachusetts Amherst,United States of America,63.4,151+,64.7,151+,90.8,42=,72.8,151+,46.8,151+,
151-200,151-200,University of Porto,Portugal,64.2,151+,59.6,151+,77.9,151+,68.3,151+,79.1,65,
151-200,151-200,University of Southampton,United Kingdom,65.2,143=,64.5,151+,76.5,151+,69.8,151+,85.5,27,
151-200,101-150,University of Twente,Netherlands,66.9,129,63.3,151+,80.9,151+,69.3,151+,73.4,123,
151-200,201-250,Vellore Institute of Technology (VIT),India,56.5,151+,66.2,151+,79.0,151+,74.7,151+,88.6,16,
151-200,151-200,Virginia Polytechnic Institute and State University,United States of America,63.3,151+,58.4,151+,84.4,151+,76.0,142=,57.7,151+,
201-250,151-200,Aarhus University,Denmark,57.1,151+,60.1,151+,84.9,151+,70.9,151+,67.7,151+,
201-250,151-200,Alma Mater Studiorum - University of Bologna,Italy,60.7,151+,78.4,50=,77.1,151+,67.6,151+,62.2,151+,
201-250,201-250,Anna University,India,46.9,151+,53.5,151+,79.2,151+,84.6,63,99.9,1,
201-250,251-300,Beijing University of Chemical Technology,China (Mainland),55.0,151+,40.7,151+,93.1,18,90.2,32=,48.8,151+,
201-250,201-250,Boston University,United States of America,61.8,151+,71.1,115,78.2,151+,61.4,151+,60.9,151+,
201-250,201-250,Brno University of Technology,Czechia,58.8,151+,65.0,151+,72.2,151+,67.4,151+,91.5,10,
201-250,201-250,Case Western Reserve University,United States of America,56.7,151+,51.3,151+,89.5,67=,74.3,151+,57.9,151+,
201-250,151-200,Colorado School of Mines,United States of America,67.3,125=,52.6,151+,84.1,151+,67.4,151+,42.5,151+,
201-250,201-250,Complutense University of Madrid,Spain,61.5,151+,63.0,151+,79.8,151+,65.8,151+,58.6,151+,
201-250,251-300,Daegu Gyeongbuk Institute of Science and Technology (DGIST),Republic of Korea,63.4,151+,62.1,151+,84.8,151+,70.0,151+,43.0,151+,
201-250,251-300,Donghua University,China (Mainland),55.9,151+,31.5,151+,88.2,85=,87.9,43=,57.1,151+,
201-250,201-250,Drexel University,United States of America,54.6,151+,36.2,151+,100.0,1,80.7,102,51.7,151+,
201-250,201-250,Graz University of Technology,Austria,62.8,151+,54.3,151+,76.7,151+,64.4,151+,73.3,124=,
201-250,201-250,Indian Institute of Technology Roorkee (IITR),India,61.8,151+,59.6,151+,78.8,151+,68.8,151+,58.2,151+,
201-250,201-250,Iowa State University,United States of America,56.3,151+,65.2,151+,83.4,151+,73.0,151+,62.7,151+,
201-250,251-300,Khalifa University of Science and Technology,United Arab Emirates,51.8,151+,58.9,151+,87.1,105,71.7,151+,80.2,56,
201-250,151-200,Lulea University,Sweden,58.7,151+,52.5,151+,83.4,151+,68.3,151+,72.3,134=,
201-250,201-250,Michigan State University,United States of America,57.9,151+,70.0,131=,81.7,151+,66.8,151+,70.9,150=,
201-250,251-300,Nanjing University of Aeronautics and Astronautics,China (Mainland),53.3,151+,54.0,151+,80.5,151+,83.7,72=,68.2,151+,
201-250,201-250,National Cheng Kung University (NCKU),Taiwan,61.5,151+,68.9,142=,77.3,151+,70.9,151+,46.2,151+,
201-250,201-250,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,62.0,151+,61.9,151+,81.5,151+,72.0,151+,54.8,151+,
201-250,251-300,National University of Sciences And Technology (NUST) Islamabad,Pakistan,61.9,151+,56.7,151+,80.2,151+,66.1,151+,74.2,118,
201-250,251-300,Pusan National University,Republic of Korea,58.3,151+,57.4,151+,80.6,151+,75.1,151+,58.7,151+,
201-250,201-250,Qatar University,Qatar,52.9,151+,42.5,151+,89.5,67=,71.7,151+,84.7,30=,
201-250,201-250,Ruprecht-Karls-Universität Heidelberg,Germany,60.7,151+,75.6,77=,78.4,151+,61.7,151+,60.0,151+,
201-250,251-300,Shandong University,China (Mainland),49.1,151+,55.5,151+,86.9,107=,89.1,37=,61.3,151+,
201-250,251-300,Shenzhen University,China (Mainland),45.1,151+,36.2,151+,92.1,28=,92.6,18=,74.3,116=,
201-250,251-300,Soochow University,China (Mainland),52.2,151+,32.0,151+,92.9,19=,93.6,10=,62.3,151+,
201-250,201-250,Southern University of Science and Technology,China (Mainland),54.5,151+,38.2,151+,91.4,36=,87.7,46,60.0,151+,
201-250,201-250,Stockholm University,Sweden,58.1,151+,61.1,151+,86.1,129=,69.3,151+,63.0,151+,
201-250,201-250,Università di Padova,Italy,58.8,151+,79.2,47,75.7,151+,67.6,151+,75.1,106,
201-250,151-200,Universität Stuttgart,Germany,62.7,151+,72.1,111,75.3,151+,67.6,151+,66.5,151+,
201-250,201-250,Université Claude Bernard Lyon 1,France,56.6,151+,65.0,151+,76.1,151+,68.1,151+,86.7,21,
201-250,151-200,Université de Lille,France,57.7,151+,62.6,151+,76.5,151+,70.0,151+,82.1,45=,
201-250,151-200,Université de Montpellier,France,58.0,151+,55.0,151+,81.5,151+,71.7,151+,81.9,47=,
201-250,201-250,Universiti Kebangsaan Malaysia (UKM),Malaysia,58.5,151+,60.0,151+,80.3,151+,70.0,151+,76.3,85=,
201-250,201-250,University of Amsterdam,Netherlands,60.5,151+,68.6,147=,81.8,151+,66.3,151+,54.5,151+,
201-250,201-250,"University of California, Davis",United States of America,56.8,151+,72.5,107=,79.9,151+,68.3,151+,62.6,151+,
201-250,201-250,"University of California, Irvine",United States of America,59.2,151+,60.5,151+,84.8,151+,71.3,151+,60.5,151+,
201-250,201-250,University of Copenhagen,Denmark,60.6,151+,70.6,121,81.9,151+,65.2,151+,57.9,151+,
201-250,151-200,University of Delaware,United States of America,60.4,151+,58.6,151+,81.9,151+,68.3,151+,62.2,151+,
201-250,201-250,University of Helsinki,Finland,59.4,151+,62.5,151+,83.4,151+,66.6,151+,64.8,151+,
201-250,201-250,University of Illinois at Chicago (UIC),United States of America,61.3,151+,65.5,151+,84.9,151+,71.1,151+,49.2,151+,
201-250,201-250,University of Minho,Portugal,61.2,151+,47.4,151+,81.8,151+,72.4,151+,75.2,102=,
201-250,201-250,University of Naples - Federico II,Italy,54.9,151+,67.8,151+,78.7,151+,70.0,151+,74.7,108=,
201-250,201-250,University of St Andrews,United Kingdom,65.4,140,62.9,151+,75.2,151+,60.4,151+,66.6,151+,
201-250,201-250,University of Strathclyde,United Kingdom,60.0,151+,62.5,151+,77.9,151+,66.1,151+,77.3,76=,
201-250,251-300,University of Surrey,United Kingdom,54.3,151+,60.6,151+,86.2,126=,68.8,151+,70.6,151+,
201-250,201-250,Ural Federal University - UrFU,Russian Federation,64.1,151+,63.1,151+,65.1,151+,66.3,151+,80.7,54,
201-250,201-250,Warsaw University of Technology,Poland,65.2,143=,59.8,151+,69.4,151+,63.5,151+,71.5,143,
251-300,251-300,AGH University of Science and Technology,Poland,59.8,151+,49.8,151+,72.1,151+,65.2,151+,88.0,17,
251-300,251-300,Albert-Ludwigs-Universitaet Freiburg,Germany,57.2,151+,60.2,151+,79.8,151+,65.0,151+,61.5,151+,
251-300,301-350,Cairo University,Egypt,60.2,151+,61.9,151+,76.1,151+,66.3,151+,62.6,151+,
251-300,251-300,Charles University,Czechia,56.3,151+,64.1,151+,74.5,151+,61.7,151+,74.5,113=,
251-300,301-350,Chongqing University,China (Mainland),49.1,151+,37.1,151+,83.6,151+,87.5,47=,56.9,151+,
251-300,251-300,Chulalongkorn University,Thailand,58.7,151+,57.5,151+,79.5,151+,65.8,151+,59.8,151+,
251-300,251-300,Czech Technical University in Prague,Czechia,65.1,146=,67.9,151+,67.0,151+,59.0,151+,76.5,83=,
251-300,,Durham University,United Kingdom,56.4,151+,63.9,151+,79.9,151+,63.2,151+,69.1,151+,
251-300,351-400,East China University of Science and Technology,China (Mainland),50.7,151+,46.8,151+,85.1,151+,82.8,81,52.7,151+,
