2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
51-100,51-100,University of Gothenburg,Sweden,73.7,51+,24.7,51+,86.6,25=,74.2,51+,,,
51-100,101-150,University of Groningen,Netherlands,72.1,51+,51.5,51+,82.4,51+,72.1,51+,,,
51-100,101-150,University of Helsinki,Finland,70.4,51+,49.1,51+,79.4,51+,78.0,39=,,,
51-100,51-100,University of Liverpool,United Kingdom,70.2,51+,72.1,51+,86.3,28,81.3,24=,,,
51-100,51-100,"University of North Carolina, Chapel Hill",United States of America,74.1,51+,59.0,51+,72.6,51+,67.4,51+,,,
51-100,51-100,University of Oslo,Norway,69.3,51+,62.2,51+,82.9,51+,82.8,15=,,,
51-100,51-100,University of Otago,New Zealand,73.7,51+,72.3,51+,77.6,51+,61.8,51+,,,
51-100,51-100,University of Pisa,Italy,70.0,51+,81.8,31=,79.7,51+,79.7,30=,,,
51-100,51-100,University of St Andrews,United Kingdom,71.0,51+,73.1,51+,94.6,3,67.4,51+,,,
51-100,38,University of Texas at Austin,United States of America,75.8,51+,65.4,51+,81.2,51+,69.9,51+,,,
51-100,51-100,University of Wisconsin-Madison,United States of America,68.4,51+,72.3,51+,86.6,25=,69.9,51+,,,
101-150,51-100,Altai State University,Russian Federation,68.1,51+,66.0,51+,64.7,51+,50.4,51+,,,
101-150,201-240,Beijing Normal University,China (Mainland),71.7,51+,61.3,51+,68.4,51+,61.8,51+,,,
101-150,101-150,Ca' Foscari University of Venice,Italy,67.8,51+,77.7,49,68.0,51+,61.8,51+,,,
101-150,101-150,Cairo University,Egypt,65.4,51+,84.8,19=,75.6,51+,64.8,51+,,,
101-150,101-150,Cardiff University,United Kingdom,68.2,51+,59.8,51+,82.8,51+,67.4,51+,,,
101-150,101-150,Charles University,Czechia,66.5,51+,58.3,51+,73.7,51+,72.1,51+,,,
101-150,101-150,Cornell University,United States of America,69.6,51+,66.8,51+,78.2,51+,64.8,51+,,,
101-150,101-150,Goethe-University Frankfurt am Main,Germany,64.2,51+,65.6,51+,82.2,51+,72.1,51+,,,
101-150,101-150,Hokkaido University,Japan,71.7,51+,61.3,51+,60.5,51+,50.4,51+,,,
101-150,51-100,Humboldt-Universität zu Berlin,Germany,70.1,51+,76.5,51+,65.1,51+,54.7,51+,,,
101-150,101-150,James Cook University,Australia,67.5,51+,44.2,51+,92.4,6,74.2,51+,,,
101-150,101-150,King's College London,United Kingdom,69.5,51+,73.7,51+,68.1,51+,58.5,51+,,,
101-150,151-200,Korea University,Republic of Korea,78.8,44,71.0,51+,39.7,51+,30.9,51+,,,
101-150,151-200,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,72.8,51+,81.6,33=,41.2,51+,30.9,51+,,,
101-150,101-150,Lund University,Sweden,69.8,51+,43.8,51+,84.4,39=,78.0,39=,,,
101-150,101-150,McGill University,Canada,71.4,51+,71.2,51+,62.0,51+,54.7,51+,,,
101-150,151-200,Nanjing University,China (Mainland),63.9,51+,65.5,51+,82.7,51+,74.2,51+,,,
101-150,101-150,"Nanyang Technological University, Singapore (NTU)",Singapore,61.3,51+,82.1,29=,85.4,31,72.1,51+,,,
101-150,51-100,New York University (NYU),United States of America,68.8,51+,74.1,51+,75.2,51+,64.8,51+,,,
101-150,101-150,Northwestern University,United States of America,67.1,51+,64.1,51+,81.0,51+,69.9,51+,,,
101-150,51-100,Novosibirsk State University,Russian Federation,69.7,51+,72.5,51+,56.0,51+,54.7,51+,,,
101-150,101-150,Queen's University Belfast,United Kingdom,62.3,51+,69.3,51+,100.0,1,78.0,39=,,,
101-150,201-240,Renmin (People's) University of China,China (Mainland),72.7,51+,56.2,51+,55.9,51+,39.0,51+,,,
101-150,51-100,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,68.6,51+,74.1,51+,78.1,51+,64.8,51+,,,
101-150,101-150,Stockholm University,Sweden,65.1,51+,63.3,51+,84.2,42=,81.3,24=,,,
101-150,151-200,The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",71.5,51+,77.4,50,52.8,51+,45.3,51+,,,
101-150,101-150,The University of New South Wales (UNSW Sydney),Australia,62.1,51+,92.3,4,94.0,4,69.9,51+,,,
101-150,151-200,Tohoku University,Japan,77.5,51+,63.9,51+,45.2,51+,39.0,51+,,,
101-150,51-100,"Trinity College Dublin, The University of Dublin",Ireland,70.2,51+,74.4,51+,73.5,51+,58.5,51+,,,
101-150,101-150,Universidad Autónoma de Madrid,Spain,71.6,51+,58.1,51+,70.5,51+,61.8,51+,,,
101-150,51-100,Universidad de Sevilla,Spain,70.1,51+,34.7,51+,71.0,51+,67.4,51+,,,
101-150,101-150,"Université Bordeaux 3, Michel de Montaigne",France,62.1,51+,74.2,51+,74.6,51+,72.1,51+,,,
101-150,101-150,Université catholique de Louvain (UCLouvain),Belgium,66.7,51+,74.4,51+,73.6,51+,54.7,51+,,,
101-150,151-200,University of Bradford,United Kingdom,67.4,51+,55.1,51+,75.3,51+,69.9,51+,,,
101-150,101-150,University of Bristol,United Kingdom,65.0,51+,66.0,51+,84.0,44,72.1,51+,,,
101-150,101-150,University of Haifa,Israel,65.4,51+,69.6,51+,75.1,51+,69.9,51+,,,
101-150,101-150,University of Naples - Federico II,Italy,65.4,51+,81.6,33=,73.8,51+,74.2,51+,,,
101-150,101-150,University of Nottingham,United Kingdom,60.1,51+,71.2,51+,83.9,45=,82.8,15=,,,
101-150,51-100,University of Siena,Italy,70.5,51+,34.7,51+,77.1,51+,61.8,51+,,,
101-150,101-150,University of the Philippines,Philippines,72.5,51+,55.9,51+,57.2,51+,45.3,51+,,,
101-150,101-150,University of Warsaw,Poland,69.6,51+,55.3,51+,61.8,51+,67.4,51+,,,
101-150,51-100,University of Washington,United States of America,68.8,51+,51.8,51+,81.4,51+,72.1,51+,,,
101-150,151-200,University of Wollongong,Australia,60.8,51+,86.0,16,87.6,15=,78.0,39=,,,
101-150,51-100,Uppsala University,Sweden,68.1,51+,39.4,51+,84.8,36,78.0,39=,,,
101-150,101-150,Utrecht University,Netherlands,64.0,51+,70.6,51+,82.7,51+,69.9,51+,,,
101-150,101-150,Vanderbilt University,United States of America,69.0,51+,56.8,51+,77.6,51+,69.9,51+,,,
101-150,151-200,Vrije Universiteit Amsterdam,Netherlands,65.7,51+,39.6,51+,82.9,51+,72.1,51+,,,
101-150,101-150,Waseda University,Japan,74.8,51+,61.5,51+,48.7,51+,45.3,51+,,,
101-150,201-240,Wuhan University,China (Mainland),70.0,51+,65.9,51+,60.3,51+,50.4,51+,,,
101-150,201-240,Zhejiang University,China (Mainland),65.2,51+,73.5,51+,76.5,51+,58.5,51+,,,
