2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
151-200,151-200,Czech Technical University in Prague,Czechia,56.1,51+,64.7,51+,64.0,51+,72.4,51+,,,
151-200,151-200,Graz University of Technology,Austria,59.0,51+,52.0,51+,78.6,51+,67.2,51+,,,
151-200,,Hunan University,China (Mainland),53.5,51+,49.2,51+,92.4,22=,91.5,11,,,
151-200,151-200,Illinois Institute of Technology,United States of America,61.7,51+,53.0,51+,69.6,51+,62.3,51+,,,
151-200,151-200,Indian Institute of Technology Kharagpur (IIT-KGP),India,57.8,51+,56.4,51+,81.9,51+,75.1,51+,,,
151-200,151-200,King Abdulaziz University (KAU),Saudi Arabia,51.1,51+,68.3,51+,92.6,19=,76.6,51+,,,
151-200,101-150,King Fahd University of Petroleum & Minerals,Saudi Arabia,50.2,51+,76.9,50,92.4,22=,81.9,51+,,,
151-200,201-240,Kyung Hee University,Republic of Korea,54.1,51+,57.6,51+,90.9,44=,69.2,51+,,,
151-200,151-200,Kyushu University,Japan,55.2,51+,63.4,51+,77.4,51+,67.2,51+,,,
151-200,151-200,Michigan State University,United States of America,54.8,51+,63.4,51+,86.2,51+,79.8,51+,,,
151-200,151-200,National Technical University of Athens,Greece,52.4,51+,59.8,51+,81.3,51+,79.4,51+,,,
151-200,151-200,Politecnico di Bari,Italy,54.8,51+,58.8,51+,85.5,51+,74.6,51+,,,
151-200,151-200,Queen's University Belfast,United Kingdom,51.7,51+,61.3,51+,86.2,51+,72.4,51+,,,
151-200,,Renmin (People's) University of China,China (Mainland),52.2,51+,73.8,51+,84.9,51+,77.6,51+,,,
151-200,151-200,Singapore University of Technology and Design,Singapore,58.6,51+,60.2,51+,82.0,51+,66.4,51+,,,
151-200,201-240,Swinburne University of Technology,Australia,51.8,51+,48.8,51+,92.0,30=,82.3,51+,,,
151-200,151-200,Syracuse University,United States of America,58.3,51+,54.3,51+,77.2,51+,64.1,51+,,,
151-200,151-200,The University of Osaka,Japan,60.0,51+,66.4,51+,65.8,51+,52.6,51+,,,
151-200,151-200,The University of Western Australia,Australia,50.8,51+,69.3,51+,92.6,19=,77.1,51+,,,
151-200,101-150,Universidade Estadual de Campinas (Unicamp),Brazil,54.4,51+,75.8,51+,76.8,51+,61.4,51+,,,
151-200,,Universitat Autònoma de Barcelona,Spain,52.5,51+,59.6,51+,89.9,51+,73.5,51+,,,
151-200,101-150,Universitat de Barcelona,Spain,57.5,51+,72.1,51+,79.7,51+,64.9,51+,,,
151-200,151-200,Université catholique de Louvain (UCLouvain),Belgium,58.7,51+,66.2,51+,77.0,51+,63.2,51+,,,
151-200,151-200,Université de Montréal,Canada,53.4,51+,66.8,51+,85.0,51+,76.6,51+,,,
151-200,151-200,Université Paris 1 Panthéon-Sorbonne,France,55.1,51+,76.8,51+,72.7,51+,65.7,51+,,,
151-200,151-200,Universiti Putra Malaysia (UPM),Malaysia,52.2,51+,72.8,51+,80.2,51+,67.2,51+,,,
