2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
201-275,201-240,Pontificia Universidad Católica del Perú,Peru,61.9,51+,70.8,51+,60.9,51+,55.7,51+,,,
201-275,,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,56.9,51+,65.8,51+,70.7,51+,61.3,51+,,,
201-275,151-200,Queen's University Belfast,United Kingdom,60.1,51+,60.8,51+,85.1,51+,72.6,51+,,,
201-275,,Shandong University,China (Mainland),54.8,51+,57.5,51+,86.4,51+,85.2,36=,,,
201-275,,South China University of Technology,China (Mainland),55.8,51+,44.2,51+,87.0,51+,87.8,24=,,,
201-275,201-240,Southwest Jiaotong University,China (Mainland),63.5,51+,43.8,51+,82.1,51+,89.9,17=,,,
201-275,,Sun Yat-sen University,China (Mainland),54.8,51+,56.0,51+,87.1,51+,77.9,51+,,,
201-275,201-240,Swansea University,United Kingdom,66.3,51+,58.0,51+,72.5,51+,61.3,51+,,,
201-275,201-240,Swinburne University of Technology,Australia,48.4,51+,54.3,51+,91.3,10=,86.2,32=,,,
201-275,151-200,Technical University of Darmstadt,Germany,67.2,51+,56.3,51+,75.5,51+,62.0,51+,,,
201-275,,Technion - Israel Institute of Technology,Israel,62.1,51+,53.0,51+,78.9,51+,65.3,51+,,,
201-275,151-200,Technische Universität Braunschweig,Germany,64.2,51+,51.1,51+,80.5,51+,74.3,51+,,,
201-275,201-240,The University of Arizona,United States of America,59.4,51+,62.1,51+,81.9,51+,65.9,51+,,,
201-275,,Ulsan National Institute of Science and Technology (UNIST),Republic of Korea,59.1,51+,63.3,51+,73.0,51+,63.4,51+,,,
201-275,201-240,UNESP,Brazil,57.2,51+,71.7,51+,71.8,51+,56.6,51+,,,
201-275,151-200,United Arab Emirates University,United Arab Emirates,61.5,51+,65.2,51+,75.0,51+,61.3,51+,,,
201-275,151-200,Universidad de Buenos Aires (UBA),Argentina,61.8,51+,74.8,51+,52.9,51+,46.1,51+,,,
201-275,,Universidad Técnica Federico Santa María (USM),Chile,53.2,51+,74.1,51+,66.1,51+,57.5,51+,,,
201-275,,Universidade Federal de Minas Gerais (UFMG),Brazil,54.0,51+,68.2,51+,77.7,51+,63.4,51+,,,
201-275,,Universidade Federal do Rio Grande Do Sul,Brazil,60.2,51+,52.7,51+,80.0,51+,68.7,51+,,,
201-275,201-240,Université catholique de Louvain (UCLouvain),Belgium,59.2,51+,75.9,51+,68.3,51+,52.9,51+,,,
