2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
151-200,101-150,Universidad Carlos III de Madrid (UC3M),Spain,68.4,51+,68.9,51+,69.0,51+,67.6,51+,,,
151-200,151-200,Universidad de Sevilla,Spain,63.1,51+,45.4,51+,75.9,51+,75.9,51+,,,
151-200,101-150,Universidade Estadual de Campinas (Unicamp),Brazil,65.5,51+,76.7,51+,64.5,51+,67.6,51+,,,
151-200,101-150,Universität Mannheim,Germany,64.3,51+,64.7,51+,62.9,51+,74.1,51+,,,
151-200,151-200,Universitat Politècnica de València,Spain,61.9,51+,57.4,51+,76.9,51+,80.8,51+,,,
151-200,151-200,Université de Montpellier,France,52.2,51+,50.3,51+,100.0,1,86.8,46=,,,
151-200,101-150,Universite libre de Bruxelles,Belgium,60.1,51+,69.4,51+,76.7,51+,73.1,51+,,,
151-200,151-200,Universiti Malaya (UM),Malaysia,64.1,51+,66.9,51+,72.6,51+,74.1,51+,,,
151-200,151-200,University of Alberta,Canada,61.9,51+,67.2,51+,76.6,51+,75.0,51+,,,
151-200,101-150,University of Bath,United Kingdom,60.3,51+,67.7,51+,79.3,51+,78.5,51+,,,
151-200,201-250,"University of California, Irvine",United States of America,55.9,51+,66.8,51+,82.8,51+,75.0,51+,,,
151-200,101-150,University of Göttingen,Germany,63.0,51+,54.1,51+,74.0,51+,75.0,51+,,,
151-200,101-150,University of Groningen,Netherlands,57.7,51+,67.4,51+,82.3,51+,76.8,51+,,,
151-200,,University of Milan,Italy,63.2,51+,69.6,51+,70.3,51+,69.9,51+,,,
151-200,151-200,University of Pittsburgh,United States of America,60.4,51+,62.0,51+,80.9,51+,79.3,51+,,,
151-200,201-250,University of Porto,Portugal,61.7,51+,45.3,51+,80.1,51+,76.8,51+,,,
151-200,201-250,University of Tehran,Iran (Islamic Republic of),55.3,51+,40.3,51+,85.8,45=,92.3,13=,,,
151-200,201-250,Washington University in St. Louis,United States of America,60.6,51+,58.5,51+,83.6,51+,80.0,51+,,,
151-200,151-200,Western University,Canada,62.0,51+,64.4,51+,74.4,51+,75.9,51+,,,
151-200,,Xiamen University,China (Mainland),58.5,51+,57.7,51+,81.6,51+,75.9,51+,,,
201-250,,Beijing Normal University,China (Mainland),63.5,51+,53.9,51+,71.4,51+,72.1,51+,,,
201-250,151-200,Complutense University of Madrid,Spain,58.7,51+,66.8,51+,69.8,51+,69.9,51+,,,
201-250,201-250,Cranfield University,United Kingdom,54.5,51+,58.9,51+,75.6,51+,73.1,51+,,,
201-250,201-250,Dartmouth College,United States of America,52.0,51+,63.7,51+,79.4,51+,73.1,51+,,,
201-250,,Durham University,United Kingdom,61.5,51+,67.8,51+,64.3,51+,66.4,51+,,,
201-250,201-250,Emory University,United States of America,57.8,51+,62.0,51+,76.7,51+,72.1,51+,,,
201-250,201-250,Florida State University,United States of America,55.7,51+,61.7,51+,72.8,51+,74.1,51+,,,
201-250,151-200,Ghent University,Belgium,52.6,51+,58.0,51+,83.3,51+,79.3,51+,,,
201-250,,Hunan University,China (Mainland),49.1,51+,48.4,51+,87.0,26=,86.2,51+,,,
201-250,151-200,Indiana University Bloomington,United States of America,49.7,51+,58.6,51+,83.5,51+,76.8,51+,,,
201-250,,Istanbul Technical University,Türkiye,61.7,51+,62.6,51+,70.2,51+,68.8,51+,,,
201-250,,King Saud University,Saudi Arabia,63.8,51+,61.8,51+,61.7,51+,71.0,51+,,,
201-250,,Macquarie University,Australia,54.8,51+,62.8,51+,76.0,51+,73.1,51+,,,
201-250,201-250,National Cheng Kung University (NCKU),Taiwan,64.4,51+,68.6,51+,61.8,51+,66.4,51+,,,
201-250,,Qatar University,Qatar,58.0,51+,46.9,51+,72.9,51+,73.1,51+,,,
201-250,201-250,Queen Mary University of London,United Kingdom,51.6,51+,64.2,51+,75.9,51+,76.8,51+,,,
201-250,,Shandong University,China (Mainland),50.6,51+,61.7,51+,83.0,51+,86.2,51+,,,
201-250,,Shanghai University,China (Mainland),52.4,51+,50.7,51+,81.7,51+,83.6,51+,,,
201-250,,Shanghai University of Finance and Economics,China (Mainland),61.2,51+,54.1,51+,74.9,51+,74.1,51+,,,
201-250,,Sharif University of Technology,Iran (Islamic Republic of),58.0,51+,53.7,51+,74.1,51+,75.0,51+,,,
201-250,201-250,Sungkyunkwan University (SKKU),Republic of Korea,65.4,51+,67.1,51+,61.0,51+,62.3,51+,,,
201-250,151-200,The University of Adelaide,Australia,63.5,51+,65.5,51+,64.4,51+,60.8,51+,,,
201-250,151-200,"Trinity College Dublin, The University of Dublin",Ireland,63.3,51+,76.1,51+,64.0,51+,66.4,51+,,,
201-250,151-200,TU Dortmund University,Germany,58.5,51+,54.1,51+,69.9,51+,71.0,51+,,,
201-250,201-250,Universidad Autónoma de Madrid,Spain,59.6,51+,68.4,51+,64.4,51+,66.4,51+,,,
201-250,151-200,Universidade Federal do Rio de Janeiro,Brazil,65.3,51+,64.2,51+,60.6,51+,62.3,51+,,,
201-250,201-250,Universidade Federal do Rio Grande Do Sul,Brazil,51.5,51+,55.2,51+,86.8,29=,75.0,51+,,,
201-250,151-200,Universitat de Barcelona,Spain,62.2,51+,69.6,51+,67.5,51+,66.4,51+,,,
201-250,151-200,Universität Hamburg,Germany,61.4,51+,61.1,51+,67.8,51+,72.1,51+,,,
201-250,151-200,Université Laval,Canada,56.1,51+,54.5,51+,75.0,51+,75.9,51+,,,
201-250,151-200,Universiti Sains Malaysia (USM),Malaysia,60.7,51+,58.7,51+,70.4,51+,72.1,51+,,,
201-250,,University at Buffalo SUNY,United States of America,52.9,51+,61.2,51+,80.7,51+,77.6,51+,,,
201-250,151-200,University College Dublin,Ireland,58.0,51+,67.8,51+,75.6,51+,74.1,51+,,,
201-250,151-200,University of Calgary,Canada,58.7,51+,66.8,51+,73.6,51+,71.0,51+,,,
201-250,,"University of California, Santa Barbara (UCSB)",United States of America,54.8,51+,61.5,51+,74.7,51+,75.0,51+,,,
201-250,201-250,University of Delhi,India,56.4,51+,65.0,51+,73.3,51+,80.0,51+,,,
201-250,151-200,University of Glasgow,United Kingdom,62.6,51+,71.4,51+,68.5,51+,65.1,51+,,,
201-250,201-250,University of Granada,Spain,54.9,51+,60.0,51+,79.5,51+,73.1,51+,,,
201-250,151-200,University of Helsinki,Finland,57.6,51+,59.8,51+,79.6,51+,74.1,51+,,,
201-250,201-250,University of Illinois at Chicago (UIC),United States of America,58.1,51+,66.8,51+,77.0,51+,71.0,51+,,,
